"Año","sistema","tiempo de operación en minutos","minutos de falla","tiempo entre falla y falla","humedad del equipo","correctivos realizados","temperatura","Vibración","cantidad de elementos"
"2025","AGENTE LIMPIO","74319096","0","0","0","7","0","0","0"
"2023","ACS","78538320","0","0","0","58","0","0","0"
"2022","SCADA MEP","89413160","0","0","0","7","0","0","0"
"2024","SCADA ELECTRICO","101384296","0","0","0","39","0","0","14"
"2025","BMS","91238136","0","0","0","14","0","0","0"
"2023","SCADA MEP","211547384","0","0","0","9","0","0","0"
"2022","SCADA ELECTRICO","202782560","0","0","0","37","0","0","0"
"2024","DACI","72290360","0","0","0","7","0","0","0"
"2025","FASI","105794976","0","0","0","7","0","0","7"
"2023","ABCS","100293840","0","0","0","11","0","0","0"
"2024","BALANZAS","59913216","0","0","0","11","0","0","0"
"2025","SEMAFOROS","145933592","0","0","0","7","0","0","0"
"2023","PAS","12645576","0","0","1","11","8","8","0"
"2022","FIDS","102321584","0","0","0","8","0","0","0"
"2024","PIDS","37218488","0","0","0","6","0","0","0"
"2025","FIBROLASER","172026808","0","0","0","12","0","0","0"
"2023","AGENTE LIMPIO","95235032","0","0","0","6","0","0","0"
"2022","ACS","233552712","0","0","8","9","0","0","0"
"2024","SCADA MEP","29168872","0","0","6","60","0","0","0"
"2025","SCADA ELECTRICO","116746832","0","0","0","4","0","0","0"
"2023","BMS","11482096","0","0","0","2","0","0","0"
"2024","SCADA MEP","15375344","0","0","0","4","0","0","0"
"2025","SCADA ELECTRICO","200708872","328","0","19","8","0","0","1"
"2023","BMS","71213096","0","0","0","6","0","0","1"
"2022","SCADA MEP","227813448","0","0","0","6","0","0","0"
"2024","SCADA ELECTRICO","183033168","0","0","0","12","0","0","98"
"2025","DACI","76549496","0","0","0","6","0","0","0"
"2023","FASI","35077544","0","0","0","5","0","0","2"
"2022","ABCS","234939000","0","0","0","12","0","0","0"
"2024","BALANZAS","236986688","0","0","0","6","0","0","0"
"2025","SEMAFOROS","124422680","0","0","0","12","0","0","0"
"2023","PAS","132957240","0","0","0","6","0","0","0"
"2024","FIDS","135922640","0","0","0","7","0","0","0"
"2025","PIDS","231574064","0","0","0","6","0","0","0"
"2023","FIDS","3678824","0","0","0","6","0","0","1"
"2022","PIDS","138216104","0","0","0","7","0","0","0"
"2024","FIBROLASER","34062288","0","0","0","12","0","0","1"
"2025","AGENTE LIMPIO","83861072","0","0","0","6","0","0","0"
"2023","ACS","83001080","0","0","0","12","0","0","2"
"2022","SCADA MEP","195055056","0","0","0","6","0","0","0"
"2024","SCADA ELECTRICO","189256344","0","0","0","13","0","0","0"
"2025","BMS","174481968","0","0","0","5","0","0","6"
"2023","SCADA MEP","135383840","0","0","9","7","16","16","0"
"2024","SCADA ELECTRICO","84745880","0","5","0","11","0","0","2"
"2025","BMS","219347472","0","0","0","13","0","0","0"
"2023","SCADA MEP","54787624","0","2","0","5","0","0","1"
"2022","SCADA ELECTRICO","72161496","0","1","0","5","0","0","0"
"2024","DACI","112612960","0","0","0","5","0","0","5"
"2025","FASI","91328200","3848","0","17","6","0","0","2"
"2023","ABCS","148999920","0","0","0","11","0","0","0"
"2022","BALANZAS","191397728","0","0","0","11","0","0","0"
"2024","SEMAFOROS","127719832","0","0","0","12","0","0","0"
"2025","PAS","26535696","0","0","0","6","0","0","0"
"2023","FIDS","55800104","0","0","0","6","0","0","0"
"2024","PIDS","91503848","0","0","0","8","0","0","0"
"2025","FIBROLASER","181780728","0","0","0","13","0","0","1"
"2023","AGENTE LIMPIO","237169440","0","0","0","12","0","0","0"
"2022","ACS","212108728","0","0","0","7","0","0","4"
"2024","SCADA MEP","21599592","0","0","12","6","0","0","0"
"2025","SCADA ELECTRICO","141418656","0","0","0","6","0","0","0"
"2023","BMS","118006888","0","0","0","11","0","0","0"
"2022","SCADA MEP","30466400","0","0","0","7","0","0","0"
"2024","SCADA ELECTRICO","72348976","0","0","0","8","0","0","0"
"2025","DACI","45215632","152","0","0","12","0","0","0"
"2023","FASI","537664","0","0","6","10","0","0","0"
"2024","ABCS","55681528","0","0","0","13","0","0","0"
"2025","BALANZAS","5176240","0","0","0","11","0","0","1"
"2023","SEMAFOROS","95015736","0","0","0","7","0","0","0"
"2022","PAS","140858576","0","0","0","8","0","0","15"
"2024","FIDS","241434088","0","0","0","13","0","0","0"
"2025","PIDS","173100920","0","0","0","8","0","0","3"
"2023","FIBROLASER","168580744","0","0","0","7","0","0","0"
"2022","AGENTE LIMPIO","80528704","0","0","0","12","0","0","0"
"2024","ACS","132918592","0","406","0","12","0","0","2637"
"2025","SCADA MEP","55129480","0","0","0","9","0","0","26"
"2023","SCADA ELECTRICO","217715704","0","0","0","12","0","0","0"
"2024","BMS","898296","0","0","0","8","0","0","1"
"2025","SCADA MEP","195269400","0","0","0","13","0","0","0"
"2023","SCADA ELECTRICO","219098576","0","0","0","12","0","0","0"
"2022","BMS","174919552","0","0","6","6","0","0","8"
"2024","SCADA MEP","243098632","0","0","0","7","0","0","2"
"2025","SCADA ELECTRICO","220015448","1184","0","0","14","8","8","0"
"2023","DACI","230826616","32","0","6","11","0","0","7"
"2022","FASI","141904368","0","1331","0","13","0","0","34"
"2024","ABCS","113231480","0","0","0","8","0","0","0"
"2025","BALANZAS","68527040","0","0","0","13","0","0","0"
"2023","SEMAFOROS","49905048","0","2","0","12","0","0","34"
"2024","PAS","58257784","0","0","0","6","0","0","1"
"2025","FIDS","62410168","0","0","0","8","0","0","2"
"2023","PIDS","231280120","0","0","0","8","0","0","0"
"2022","FIBROLASER","13898648","712","0","69","12","0","0","0"
"2024","AGENTE LIMPIO","169088304","0","0","0","6","0","0","0"
"2025","ACS","124701760","0","0","0","7","0","0","0"
"2023","SCADA MEP","83176224","0","0","0","13","0","0","0"
"2022","SCADA ELECTRICO","184156464","0","0","0","9","0","0","0"
"2024","BMS","128129328","0","0","0","10","0","0","0"
"2025","SCADA MEP","138121888","0","0","76","10","16","16","0"
"2023","SCADA ELECTRICO","203518632","0","0","0","8","0","0","0"
"2024","DACI","141802832","0","0","0","12","0","0","0"
"2025","FASI","109812536","0","0","0","12","0","0","0"
"2023","ABCS","160120360","0","0","0","8","0","0","1"
"2022","BALANZAS","137148904","0","0","6","9","0","0","0"
"2024","SEMAFOROS","109754928","0","0","2","7","0","0","0"
"2025","PAS","84865384","0","0","0","8","0","0","1"
"2023","FIDS","22383432","0","0","0","8","0","0","3"
"2022","PIDS","146839920","0","0","0","9","0","0","0"
"2024","FIBROLASER","71340160","0","0","0","6","0","0","233"
"2025","AGENTE LIMPIO","212334216","0","0","0","11","0","0","0"
"2023","ACS","8125800","0","0","0","8","0","0","0"
"2024","SCADA MEP","200863160","0","0","0","11","0","0","0"
"2025","SCADA ELECTRICO","205467888","0","0","0","11","0","0","0"
"2023","BMS","77740640","0","0","0","11","0","0","8"
"2022","SCADA MEP","197829112","0","220","0","8","0","0","24"
"2024","SCADA ELECTRICO","189795632","0","0","0","12","0","0","0"
"2025","BMS","22810224","0","0","0","8","0","0","3"
"2023","SCADA MEP","165551904","0","0","18","13","0","0","0"
"2022","SCADA ELECTRICO","113547024","0","0","0","8","0","0","3"
"2024","DACI","29789288","0","0","0","13","0","0","0"
"2025","FASI","123973632","0","0","0","12","0","0","1"
"2023","ABCS","93305680","0","0","0","11","0","0","0"
"2024","BALANZAS","199996864","0","0","0","12","0","0","0"
"2025","SEMAFOROS","90109920","0","0","0","8","0","0","0"
"2023","PAS","137460512","0","1","0","7","0","0","7"
"2022","FIDS","148833360","0","0","0","12","0","0","0"
"2024","PIDS","169425960","0","0","0","7","0","0","0"
"2025","FIDS","45376704","424","0","1","10","0","0","0"
"2023","PIDS","147735592","0","0","0","11","0","0","0"
"2022","FIBROLASER","146258512","0","0","0","12","0","0","0"
"2024","AGENTE LIMPIO","79791240","0","0","0","11","0","0","0"
"2025","ACS","191348136","0","0","0","10","0","0","0"
"2023","SCADA MEP","126637304","0","2693","0","10","0","0","2522"
"2024","SCADA ELECTRICO","86179464","0","1","0","7","0","0","241"
"2025","BMS","79808688","0","0","0","10","0","0","0"
"2023","SCADA MEP","82192688","0","0","0","8","0","0","0"
"2022","SCADA ELECTRICO","6727784","0","0","0","12","0","0","8"
"2024","BMS","29983384","0","0","0","13","0","0","0"
"2025","SCADA MEP","243784496","0","10","0","12","0","0","42"
"2023","SCADA ELECTRICO","214737896","0","0","0","11","0","0","0"
"2022","DACI","203620096","0","0","0","6","0","0","0"
"2024","FASI","84320320","0","263","0","10","0","0","263"
"2025","ABCS","7979976","0","0","0","8","0","0","1"
"2023","BALANZAS","236139760","0","0","0","8","0","0","0"
"2024","SEMAFOROS","208898648","0","0","0","8","0","0","6"
"2025","PAS","68815656","0","72","0","12","0","0","1150"
"2023","FIDS","48418088","0","0","0","12","0","0","0"
"2022","PIDS","112615352","0","0","0","11","0","0","0"
"2024","FIBROLASER","154053408","0","0","0","12","0","0","0"
"2025","AGENTE LIMPIO","67918008","0","0","0","10","0","0","0"
"2023","ACS","72451904","0","0","0","8","0","0","0"
"2022","SCADA MEP","242509480","0","0","0","9","0","0","1"
"2024","SCADA ELECTRICO","9142832","0","0","0","11","0","0","0"
"2025","BMS","209704512","0","0","0","7","0","0","0"
"2023","SCADA MEP","207982616","0","0","0","8","0","0","0"
"2024","SCADA ELECTRICO","16896800","0","0","0","8","0","0","0"
"2025","DACI","163776608","0","0","0","8","0","0","1"
"2023","FASI","197544104","0","0","0","7","0","0","0"
"2022","ABCS","41928776","0","0","0","10","0","0","6"
"2024","BALANZAS","106680640","0","0","0","8","0","0","0"
"2025","SEMAFOROS","95304512","0","0","0","11","0","0","0"
"2023","PAS","228209696","0","0","0","24","0","0","0"
"2022","FIDS","14081336","0","0","0","10","0","0","0"
"2024","PIDS","47147520","0","0","0","14","0","0","0"
"2025","FIBROLASER","74261568","0","0","0","10","0","0","0"
"2023","AGENTE LIMPIO","169585880","0","0","0","9","0","0","0"
"2024","ACS","135064864","0","0","0","11","0","0","6"
"2025","SCADA MEP","189714840","0","0","0","8","0","0","1"
"2023","SCADA ELECTRICO","195924712","0","0","0","16","0","0","0"
"2022","BMS","221443200","0","0","0","9","0","0","0"
"2024","SCADA MEP","220924928","0","0","0","9","0","0","0"
"2025","SCADA ELECTRICO","237838816","0","0","0","24","0","0","0"
"2023","BMS","144465816","0","0","0","8","0","0","0"
"2022","SCADA MEP","134675248","0","0","0","14","0","0","0"
"2024","SCADA ELECTRICO","11726216","0","0","0","7","0","0","0"
"2025","DACI","151849440","0","0","0","5","0","0","0"
"2023","FASI","47362104","0","0","0","5","0","0","0"
"2024","ABCS","38865792","0","0","0","6","0","0","0"
"2025","BALANZAS","138200224","0","0","0","6","0","0","0"
"2023","SEMAFOROS","173171640","0","0","0","12","0","0","0"
"2022","PAS","14842208","0","0","0","11","0","0","0"
"2024","FIDS","159413576","0","0","0","10","0","0","0"
"2025","PIDS","146345944","0","0","0","11","0","0","0"
"2023","FIBROLASER","173171408","0","12","0","25","0","0","0"
"2022","AGENTE LIMPIO","209457480","0","0","0","9","0","0","0"
"2024","ACS","217029960","0","0","0","11","0","0","0"
"2025","SCADA MEP","98145928","0","0","0","7","0","0","0"
"2023","SCADA ELECTRICO","215749008","0","0","0","9","0","0","0"
"2024","BMS","159111008","0","0","0","18","0","0","0"
"2025","SCADA MEP","240503416","0","0","0","12","0","0","0"
"2023","SCADA ELECTRICO","195747280","0","0","0","7","0","0","0"
"2022","DACI","86509088","0","0","0","23","0","0","0"
"2024","FASI","197566104","0","0","0","11","0","0","0"
"2025","ABCS","225312304","0","0","0","11","0","0","0"
"2023","BALANZAS","189949472","0","0","0","8","0","0","0"
"2022","SEMAFOROS","76951528","0","0","0","13","0","0","0"
"2024","PAS","64047288","0","0","0","12","0","0","0"
"2025","FIDS","17521312","0","0","0","11","0","0","0"
"2023","PIDS","63514344","0","0","0","16","0","0","0"
"2024","FIBROLASER","143992808","0","0","0","14","0","0","0"
"2025","AGENTE LIMPIO","66474336","0","0","0","9","0","0","0"
"2023","ACS","72099376","0","0","0","11","0","0","0"
"2022","SCADA MEP","133180224","0","0","0","10","0","0","0"
"2024","SCADA ELECTRICO","16667432","0","0","0","14","0","0","0"
"2025","BMS","221618552","0","0","0","9","0","0","0"
"2023","SCADA MEP","116992448","0","0","0","11","0","0","1"
"2022","SCADA ELECTRICO","198842504","0","0","0","8","0","0","0"
"2024","BMS","47104760","0","0","0","11","0","0","0"
"2025","SCADA MEP","199130328","0","0","0","8","0","0","1"
"2023","SCADA ELECTRICO","49560112","280","0","0","14","0","0","0"
"2024","DACI","4113568","2344","0","0","8","0","0","0"
"2025","FASI","232700936","0","0","0","10","0","0","0"
"2023","ABCS","231066168","0","0","0","12","0","0","0"
"2022","BALANZAS","209974024","0","0","0","8","0","0","0"
"2024","SEMAFOROS","46905632","0","0","0","13","0","0","0"
"2025","PAS","53982640","0","0","0","11","0","0","0"
"2023","FIDS","80969720","0","0","0","11","0","0","0"
"2022","PIDS","199784728","0","0","0","9","0","0","0"
"2024","FIDS","173520656","4960","0","0","13","0","0","0"
"2025","PIDS","91347952","0","0","0","8","0","0","0"
"2023","FIBROLASER","152386752","0","0","0","11","0","0","0"
"2024","AGENTE LIMPIO","169554904","0","0","0","13","0","0","0"
"2025","ACS","57989296","0","0","0","8","0","0","0"
"2023","SCADA MEP","215052368","0","0","0","12","0","0","2"
"2022","SCADA ELECTRICO","173411808","0","0","0","16","0","0","0"
"2024","BMS","43995824","0","0","0","24","0","0","0"
"2025","SCADA MEP","223295432","0","0","0","9","0","0","0"
"2023","SCADA ELECTRICO","55151904","0","100","0","16","0","0","24"
"2022","BMS","202986016","0","0","0","11","0","0","0"
"2024","SCADA MEP","156801136","0","0","0","12","0","0","0"
"2025","SCADA ELECTRICO","78427448","0","0","0","11","0","0","3"
"2023","DACI","201649600","0","0","0","10","0","0","0"
"2024","FASI","228532744","0","0","0","14","0","0","0"
"2025","ABCS","199841976","0","0","0","8","0","0","0"
"2023","BALANZAS","217440472","0","0","0","13","0","0","0"
"2022","SEMAFOROS","204120976","0","0","0","9","0","0","0"
"2024","PAS","2747896","0","0","0","14","0","0","0"
"2025","FIDS","211144848","0","0","0","11","0","0","0"
"2023","PIDS","21995528","0","0","0","13","0","0","0"
"2022","FIBROLASER","198030240","0","0","0","10","0","0","0"
"2024","AGENTE LIMPIO","101813104","0","0","0","9","0","0","0"
"2025","ACS","6255624","0","0","0","24","0","0","0"
"2023","SCADA MEP","39615400","0","0","0","12","0","0","0"
"2024","SCADA ELECTRICO","231693064","0","0","0","11","0","0","0"
"2025","BMS","236697176","0","0","0","9","0","0","1"
"2023","SCADA MEP","29715848","0","0","0","12","0","0","0"
"2022","SCADA ELECTRICO","52961592","0","0","0","9","0","0","0"
"2024","DACI","203855984","0","0","0","12","0","0","0"
"2025","FASI","199871816","0","0","25","16","0","0","0"
"2023","ABCS","23198008","0","0","0","11","0","0","0"
"2022","BALANZAS","171617136","0","0","6","11","0","0","0"
"2024","SEMAFOROS","160713672","0","0","0","24","0","0","0"
"2025","PAS","100181056","0","0","0","24","0","0","0"
"2023","FIDS","185185488","0","0","0","8","0","0","1"
"2024","PIDS","229762664","0","0","0","16","0","0","0"
"2025","FIBROLASER","116716248","0","0","0","9","0","0","3"
"2023","AGENTE LIMPIO","84915232","0","0","0","10","0","0","2"
"2022","ACS","158483768","0","0","0","8","0","0","0"
"2024","SCADA MEP","108303120","0","0","0","13","0","0","0"
"2025","SCADA ELECTRICO","141755304","0","0","0","8","0","0","0"
"2023","BMS","241293088","0","0","0","9","0","0","0"
"2022","SCADA MEP","160515680","0","0","0","12","0","0","0"
"2024","SCADA ELECTRICO","79133920","0","0","0","12","0","0","0"
"2025","BMS","40058104","0","0","0","11","0","0","0"
"2023","SCADA MEP","205238600","0","0","0","10","0","0","0"
"2024","SCADA ELECTRICO","153184384","0","0","0","9","0","0","0"
"2025","DACI","182244736","0","0","0","12","0","0","0"
"2023","FASI","155638512","0","0","0","9","0","0","0"
"2022","ABCS","50941088","1984","0","0","10","0","0","0"
"2024","BALANZAS","99535600","0","0","0","25","0","0","0"
"2025","SEMAFOROS","151410912","0","0","0","8","0","0","0"
"2023","PAS","181569224","0","0","5","16","0","0","0"
"2022","FIDS","125021488","0","0","0","2","0","0","3"
"2024","PIDS","51757224","0","0","0","8","0","0","0"
"2025","FIBROLASER","29815808","0","2","0","25","0","0","0"
"2023","AGENTE LIMPIO","90319520","0","0","0","5","0","0","0"
"2024","ACS","44449030","0","0","28","12","0","0","0"
"2025","SCADA MEP","202920800","0","0","0","9","0","0","0"
"2023","SCADA ELECTRICO","26889400","0","0","17","64","0","0","2"
"2022","BMS","28294304","0","1","6","12","0","0","1"
"2024","SCADA MEP","236059920","0","4","0","98","0","0","20"
"2025","SCADA ELECTRICO","117776456","0","0","0","12","0","0","0"
"2023","DACI","108680392","0","0","0","10","0","0","2"
"2022","FASI","85337272","0","0","0","9","0","0","0"
"2024","ABCS","54858408","0","8","0","58","0","0","2"
"2025","BALANZAS","1284944","0","0","0","63","0","0","0"
"2023","SEMAFOROS","131834872","0","0","0","59","0","0","1"
"2024","PAS","145591624","0","0","0","7","0","0","0"
"2025","FIDS","143207400","0","0","0","36","0","0","0"
"2023","PIDS","53185104","0","0","0","13","0","0","0"
"2022","FIBROLASER","170499568","0","62","0","95","0","0","145"
"2024","AGENTE LIMPIO","227498112","0","0","0","9","0","0","0"
"2025","ACS","116121504","0","0","0","9","0","0","0"
"2023","SCADA MEP","202097440","0","0","0","10","0","0","0"
"2022","SCADA ELECTRICO","67704344","0","1","0","8","0","0","0"
"2024","BMS","106642904","0","0","0","11","0","0","0"
"2025","SCADA MEP","166545640","16","0","0","7","0","0","0"
"2023","SCADA ELECTRICO","34375224","0","0","0","5","0","0","0"
"2024","BMS","215340752","0","0","0","11","0","0","0"
"2025","SCADA MEP","142464704","0","0","0","7","0","0","0"
"2023","SCADA ELECTRICO","85602152","0","0","0","6","0","0","1"
"2022","DACI","227754024","0","0","0","6","0","0","0"
"2024","FASI","62592176","0","0","0","11","0","0","0"
"2025","ABCS","46907664","0","0","0","68","0","0","0"
"2023","BALANZAS","129645232","0","0","0","11","0","0","4"
"2022","SEMAFOROS","191796208","0","0","0","7","0","0","10"
"2024","PAS","82402920","0","0","0","32","0","0","3"
"2025","FIDS","219231264","0","0","0","61","0","0","0"
"2023","PIDS","217595120","0","0","6","6","0","0","0"
"2024","FIDS","110562560","0","0","0","35","0","0","1"
"2025","PIDS","10423816","0","0","0","8","0","0","0"
"2023","FIBROLASER","84561208","0","0","0","6","0","0","0"
"2022","AGENTE LIMPIO","143127456","0","0","0","5","0","0","0"
"2024","ACS","7010936","0","0","0","13","0","0","0"
"2025","SCADA MEP","157798384","0","1","6","9","0","0","33"
"2023","SCADA ELECTRICO","207835272","0","0","0","11","0","0","0"
"2022","BMS","106175712","0","0","0","7","0","0","0"
"2024","SCADA MEP","102291672","0","0","0","14","0","0","0"
"2025","SCADA ELECTRICO","241863560","0","0","0","8","0","0","7"
"2023","BMS","185618344","0","0","6","11","0","0","2"
"2024","SCADA MEP","96264","0","0","0","5","0","0","0"
"2025","SCADA ELECTRICO","147074864","0","0","6","11","0","0","0"
"2023","DACI","163348696","0","0","0","36","0","0","2"
"2022","FASI","171016744","0","0","0","34","0","0","0"
"2024","ABCS","167907000","0","0","8","36","0","0","0"
"2025","BALANZAS","205671048","0","0","0","38","0","0","0"
"2023","SEMAFOROS","7040216","0","0","2","34","0","0","0"
"2022","PAS","127873776","0","0","0","12","0","0","0"
"2024","FIDS","149327248","0","0","0","36","0","0","1"
"2025","PIDS","29465920","0","0","0","12","0","0","1"
"2023","FIBROLASER","208334840","0","0","0","33","0","0","0"
"2024","AGENTE LIMPIO","165004272","0","0","0","10","0","0","0"
"2025","ACS","7781032","0","0","0","37","0","0","0"
"2023","SCADA MEP","176451432","0","0","0","14","0","0","0"
"2022","SCADA ELECTRICO","237496328","0","0","2","40","0","0","10"
"2024","BMS","238717184","0","0","0","5","0","0","0"
"2025","SCADA MEP","87798840","0","0","0","32","0","0","2"
"2023","SCADA ELECTRICO","220297296","0","0","0","12","0","0","0"
"2022","DACI","242855272","0","0","0","37","0","0","0"
"2024","FASI","146833080","0","0","0","6","0","0","0"
"2025","ABCS","221178144","5160","0","0","10","0","0","0"
"2023","BALANZAS","128990400","0","0","0","36","0","0","0"
"2024","SEMAFOROS","215207200","0","0","0","9","0","0","0"
"2025","PAS","231842800","0","1","0","33","0","0","1"
"2023","FIDS","119578432","0","0","0","11","0","0","0"
"2022","PIDS","17251568","0","0","0","33","0","0","2"
"2024","FIBROLASER","53507920","0","0","0","13","0","0","0"
"2025","AGENTE LIMPIO","182944560","664","0","10","36","0","0","0"
"2023","ACS","176218848","0","0","0","7","0","0","0"
"2022","SCADA MEP","235975864","0","0","0","31","0","0","1"
"2024","SCADA ELECTRICO","170800968","0","0","0","8","0","0","0"
"2025","BMS","29004240","0","0","0","9","0","0","2"
"2023","SCADA MEP","83823104","0","0","0","7","0","0","0"
"2024","SCADA ELECTRICO","220957680","0","0","46","31","0","0","0"
"2025","BMS","236436096","0","0","0","11","0","0","0"
"2023","SCADA MEP","148156928","0","0","0","38","0","0","3"
"2022","SCADA ELECTRICO","153969600","512","0","0","37","0","0","0"
"2024","DACI","77016192","0","0","0","34","0","0","0"
"2025","FASI","61872576","0","0","6","32","0","0","0"
"2023","ABCS","60395056","0","0","0","12","0","0","0"
"2022","BALANZAS","231826560","0","0","0","5","0","0","0"
"2024","SEMAFOROS","125367624","0","0","0","90","0","0","0"
"2025","PAS","1912216","0","0","0","7","0","0","120"
"2023","FIDS","155133248","0","56","0","12","0","0","0"
"2024","PIDS","83474232","0","0","0","4","0","0","4"
"2025","FIBROLASER","83725624","0","0","0","9","0","0","2"
"2023","AGENTE LIMPIO","89445816","0","0","0","36","0","0","0"
"2022","ACS","6002608","0","0","0","12","0","0","0"
"2024","SCADA MEP","86528320","6328","0","7","10","0","0","0"
"2025","SCADA ELECTRICO","63521872","0","0","0","7","0","0","0"
"2023","BMS","44127320","0","0","0","7","0","0","2"
"2022","SCADA MEP","218807984","0","0","0","14","0","0","0"
"2024","SCADA ELECTRICO","123575320","0","0","0","11","0","0","0"
"2025","DACI","200575360","0","0","0","8","0","0","0"
"2023","FASI","26878480","0","0","0","8","0","0","0"
"2024","ABCS","15558664","0","0","0","8","0","0","0"
"2025","BALANZAS","196182880","0","0","1","6","0","0","3"
"2023","SEMAFOROS","226364752","0","0","6","6","0","0","0"
"2022","PAS","179159480","0","0","0","7","0","0","4"
"2024","FIDS","7959320","0","2","0","12","0","0","41"
"2025","PIDS","175892312","6544","0","0","13","0","0","0"
"2023","FIBROLASER","21474656","0","0","0","6","0","0","0"
"2022","AGENTE LIMPIO","193035280","0","0","0","8","0","0","0"
"2024","ACS","20992576","0","34","0","6","0","0","8"
"2025","SCADA MEP","86373880","0","0","0","12","0","0","0"
"2023","SCADA ELECTRICO","31056280","0","0","0","7","0","0","0"
"2024","BMS","78173280","0","0","0","11","0","0","0"
"2025","SCADA MEP","103684848","0","0","0","6","0","0","0"
"2023","SCADA ELECTRICO","116476912","0","0","0","11","0","0","0"
"2022","BMS","132286360","0","0","0","6","0","0","0"
"2024","SCADA MEP","5694208","0","0","0","6","0","0","1"
"2025","SCADA ELECTRICO","95651248","0","0","0","12","0","0","0"
"2023","DACI","189723168","0","0","0","7","0","0","0"
"2022","FASI","84749800","4248","0","16","11","0","0","0"
"2024","ABCS","207050768","0","0","0","13","0","0","0"
"2025","BALANZAS","128565648","0","0","0","13","0","0","0"
"2023","SEMAFOROS","132768592","0","0","0","11","0","0","0"
"2024","PAS","122887768","0","0","0","12","0","0","0"
"2025","FIDS","158132224","0","0","0","6","0","0","0"
"2023","PIDS","93375440","0","0","0","9","0","0","0"
"2022","FIDS","168027392","0","0","0","11","0","0","0"
"2024","PIDS","84090048","0","0","0","11","0","0","0"
"2025","FIBROLASER","20382864","0","0","0","7","0","0","0"
"2023","AGENTE LIMPIO","156603632","0","0","0","13","0","0","0"
"2022","ACS","77257176","0","0","0","12","0","0","0"
"2024","SCADA MEP","67121840","0","0","0","7","0","0","0"
"2025","SCADA ELECTRICO","21372344","0","0","0","7","0","0","0"
"2023","BMS","55934768","0","0","0","23","0","0","0"
"2024","SCADA MEP","7001728","0","0","0","12","0","0","0"
"2025","SCADA ELECTRICO","105487696","0","0","0","12","0","0","0"
"2023","BMS","105033072","0","0","0","8","0","0","0"
"2022","SCADA MEP","155481416","0","0","0","7","0","0","1"
"2024","SCADA ELECTRICO","212994480","0","0","0","8","0","0","3"
"2025","DACI","88437456","0","0","0","8","0","0","248"
"2023","FASI","207305016","0","0","0","9","0","0","0"
"2022","ABCS","212457280","0","0","0","8","0","0","0"
"2024","BALANZAS","98104984","0","0","0","8","0","0","0"
"2025","SEMAFOROS","11749448","0","0","0","8","0","0","0"
"2023","PAS","194473272","0","0","0","14","0","0","0"
"2024","FIDS","118231920","0","0","0","9","0","0","0"
"2025","PIDS","206151152","0","0","0","10","0","0","0"
"2023","FIBROLASER","17416232","0","0","0","8","0","0","0"
"2022","AGENTE LIMPIO","109639304","0","0","0","12","0","0","0"
"2024","ACS","24567512","0","0","0","9","0","0","0"
"2025","SCADA MEP","159462568","0","0","0","9","0","0","0"
"2023","SCADA ELECTRICO","123975440","0","9","214","2","0","0","1"
"2022","BMS","33493224","0","0","0","16","0","0","0"
"2024","SCADA MEP","215432808","0","0","6","10","0","0","0"
"2025","SCADA ELECTRICO","211357384","0","0","0","8","0","0","1"
"2023","DACI","50483072","0","0","0","8","0","0","0"
"2024","FASI","113387240","8","0","0","10","0","0","0"
"2025","ABCS","197424680","0","0","0","5","0","0","0"
"2023","BALANZAS","124671640","0","21","0","20","0","0","33"
"2022","SEMAFOROS","42561376","0","0","0","23","0","0","0"
"2024","PAS","111387760","0","0","0","9","0","0","0"
"2025","FIDS","136325232","0","0","0","14","0","0","0"
"2023","PIDS","145167432","0","0","0","14","0","0","0"
"2022","FIBROLASER","48979080","0","0","0","9","0","0","0"
"2024","AGENTE LIMPIO","182018944","824","0","0","12","0","0","0"
"2025","ACS","192906176","0","0","0","10","0","0","0"
"2023","SCADA MEP","74319232","0","0","0","9","0","0","0"
"2024","SCADA ELECTRICO","150801392","0","0","0","8","0","0","0"
"2025","BMS","219658048","3432","0","74","6","16","16","0"
"2023","SCADA MEP","93088536","0","0","0","11","0","0","1"
"2022","SCADA ELECTRICO","75640960","0","0","0","10","0","0","0"
"2024","BMS","230050448","0","0","0","11","0","0","0"
"2025","SCADA MEP","127221416","0","0","0","10","0","0","4"
"2023","SCADA ELECTRICO","61490376","44008","0","0","12","0","0","0"
"2022","DACI","52600456","0","0","0","9","0","0","0"
"2024","FASI","100500832","2000","0","0","24","0","0","0"
"2025","ABCS","27950360","0","0","0","11","0","0","0"
"2023","BALANZAS","216397824","0","0","0","12","0","0","0"
"2024","SEMAFOROS","115047704","16","0","0","23","0","0","0"
"2025","PAS","74110528","0","0","0","8","0","0","0"
"2023","FIDS","161120480","0","0","0","12","0","0","0"
"2022","PIDS","120414136","0","0","0","11","0","0","0"
"2024","FIBROLASER","116115216","0","0","0","10","0","0","0"
"2025","AGENTE LIMPIO","196226112","0","0","0","9","0","0","1"
"2023","ACS","2468952","0","0","0","7","0","0","0"
"2022","SCADA MEP","117862368","0","61","0","13","0","0","0"
"2024","SCADA ELECTRICO","223470888","40","0","12","8","0","0","0"
"2025","BMS","143467576","0","0","0","13","0","0","0"
"2023","SCADA MEP","4980112","0","0","0","10","0","0","0"
"2024","SCADA ELECTRICO","21044544","96","0","0","9","0","0","0"
"2025","DACI","97098832","24","0","0","11","0","0","0"
